timestamp,voltage_V,temperature_K
2025-01-01T12:03:05,5.000,375.84
2025-01-01T12:03:15,5.196,381.50
2025-01-01T12:03:20,5.376,386.69
2025-01-01T12:03:25,5.373,386.60
2025-01-01T12:03:30,5.000,375.84
2025-01-01T12:03:35,5.526,391.02
2025-01-01T12:03:40,5.528,391.07
2025-01-01T12:03:45,5.000,375.84
2025-01-01T12:03:50,5.000,375.84
2025-01-01T12:03:55,5.000,375.84
2025-01-01T12:04:00,5.574,392.40
2025-01-01T12:04:10,5.000,375.84
2025-01-01T12:04:15,5.000,375.84
2025-01-01T12:04:20,5.401,387.41
2025-01-01T12:04:25,5.000,375.84
2025-01-01T12:04:30,5.151,380.20
2025-01-01T12:04:40,4.989,375.52
2025-01-01T12:04:45,4.931,373.85
2025-01-01T12:04:50,4.810,370.36
2025-01-01T12:04:55,9.067,493.16
2025-01-01T12:05:05,4.000,347.00
2025-01-01T12:05:10,4.518,361.94
2025-01-01T12:05:15,2.000,289.30
2025-01-01T12:05:25,4.320,356.23
2025-01-01T12:05:30,4.350,357.09
2025-01-01T12:05:35,4.000,347.00
2025-01-01T12:05:40,4.000,347.00
2025-01-01T12:05:45,4.000,347.00
2025-01-01T12:05:50,4.000,347.00
2025-01-01T12:05:55,9.076,493.42
2025-01-01T12:06:05,4.000,347.00
2025-01-01T12:06:10,4.000,347.00
2025-01-01T12:06:15,4.000,347.00
2025-01-01T12:06:20,5.000,375.84
2025-01-01T12:06:25,5.000,375.84
2025-01-01T12:06:35,5.000,375.84
2025-01-01T12:06:40,5.000,375.84
2025-01-01T12:06:45,5.000,375.84
2025-01-01T12:06:50,5.517,390.76
2025-01-01T12:06:55,5.600,393.15
2025-01-01T12:07:00,5.474,389.52
2025-01-01T12:07:05,5.514,390.67
2025-01-01T12:07:10,5.000,375.84
2025-01-01T12:07:15,5.644,394.42
2025-01-01T12:07:20,5.597,393.06
2025-01-01T12:07:25,5.488,389.92
2025-01-01T12:07:30,5.000,375.84
2025-01-01T12:07:35,5.000,375.84
2025-01-01T12:07:45,5.000,375.84
2025-01-01T12:07:50,5.000,375.84
2025-01-01T12:07:55,5.179,381.01
2025-01-01T12:08:00,4.938,374.05
2025-01-01T12:08:05,4.953,374.49
2025-01-01T12:08:10,4.774,369.32
2025-01-01T12:08:15,4.660,366.03
2025-01-01T12:08:20,4.000,347.00
2025-01-01T12:08:25,4.000,347.00
2025-01-01T12:08:35,4.000,347.00
2025-01-01T12:08:40,4.000,347.00
2025-01-01T12:08:45,4.472,360.61
2025-01-01T12:08:50,4.000,347.00
2025-01-01T12:08:55,4.385,358.10
2025-01-01T12:09:05,4.000,347.00
2025-01-01T12:09:10,4.551,362.89
2025-01-01T12:09:15,4.522,362.05
2025-01-01T12:09:20,4.000,347.00
2025-01-01T12:09:25,4.807,370.27
2025-01-01T12:09:35,4.000,347.00
2025-01-01T12:09:40,4.995,375.70
2025-01-01T12:09:45,5.000,375.84
2025-01-01T12:09:55,5.356,386.11
2025-01-01T12:10:00,5.339,385.62
2025-01-01T12:10:05,5.000,375.84
2025-01-01T12:10:10,5.451,388.85
2025-01-01T12:10:15,5.000,375.84
2025-01-01T12:10:20,5.000,375.84
2025-01-01T12:10:25,5.000,375.84
2025-01-01T12:10:30,5.000,375.84
2025-01-01T12:10:35,5.545,391.56
2025-01-01T12:10:50,5.464,389.23
2025-01-01T12:10:55,5.335,385.51
2025-01-01T12:11:00,5.000,375.84
2025-01-01T12:11:05,5.000,375.84
2025-01-01T12:11:10,5.099,378.70
2025-01-01T12:11:15,5.057,377.49
2025-01-01T12:11:20,4.000,347.00
2025-01-01T12:11:25,4.845,371.37
2025-01-01T12:11:30,4.000,347.00
2025-01-01T12:11:35,4.000,347.00
2025-01-01T12:11:40,4.620,364.88
2025-01-01T12:11:45,4.492,361.19
