tiempo,voltaje
2025-01-01T00:14:00,5.041
2025-01-01T00:14:05,5.024
2025-01-01T00:14:10,5.161
2025-01-01T00:14:15,8.448
2025-01-01T00:14:20,5.249
2025-01-01T00:14:25,5.256
2025-01-01T00:14:30,5.388
2025-01-01T00:14:35,5.362
2025-01-01T00:14:40,5.373
2025-01-01T00:14:45,5.419
2025-01-01T00:14:50,5.416
2025-01-01T00:14:55,5.455
2025-01-01T00:15:00,5.525
2025-01-01T00:15:05,5.540
2025-01-01T00:15:10,5.434
2025-01-01T00:15:15,5.526
2025-01-01T00:15:20,5.494
2025-01-01T00:15:25,5.477
2025-01-01T00:15:30,5.438
2025-01-01T00:15:35,5.294
2025-01-01T00:15:40,5.250
2025-01-01T00:15:45,5.295
2025-01-01T00:15:50,5.239
2025-01-01T00:15:55,5.085
2025-01-01T00:16:00,5.086
2025-01-01T00:16:05,5.034
2025-01-01T00:16:10,4.948
2025-01-01T00:16:15,4.852
2025-01-01T00:16:20,4.771
2025-01-01T00:16:25,4.813
2025-01-01T00:16:30,4.693
2025-01-01T00:16:35,8.421
2025-01-01T00:16:40,4.671
2025-01-01T00:16:45,4.586
2025-01-01T00:16:50,4.504
2025-01-01T00:16:55,4.493
2025-01-01T00:17:00,4.469
2025-01-01T00:17:05,4.452
2025-01-01T00:17:10,4.518
2025-01-01T00:17:15,4.502
2025-01-01T00:17:20,4.494
2025-01-01T00:17:25,4.518
2025-01-01T00:17:30,4.518
2025-01-01T00:17:35,4.643
2025-01-01T00:17:40,4.704
2025-01-01T00:17:45,4.692
2025-01-01T00:17:50,4.711
2025-01-01T00:17:55,4.860
2025-01-01T00:18:00,4.898
2025-01-01T00:18:05,4.886
2025-01-01T00:18:10,4.975
2025-01-01T00:18:15,5.117
2025-01-01T00:18:20,5.085
2025-01-01T00:18:25,5.212
2025-01-01T00:18:30,5.289
2025-01-01T00:18:35,5.305
2025-01-01T00:18:40,7.665
2025-01-01T00:18:45,5.432
2025-01-01T00:18:50,5.374
2025-01-01T00:18:55,5.415
2025-01-01T00:19:00,5.502
2025-01-01T00:19:05,5.463
2025-01-01T00:19:10,5.468
2025-01-01T00:19:15,5.508
2025-01-01T00:19:20,5.450
2025-01-01T00:19:25,5.467
2025-01-01T00:19:30,5.472
2025-01-01T00:19:35,2.875
2025-01-01T00:19:40,5.335
2025-01-01T00:19:45,5.319
2025-01-01T00:19:50,5.293
2025-01-01T00:19:55,5.192
2025-01-01T00:20:00,5.146
2025-01-01T00:20:05,5.109
2025-01-01T00:20:10,5.034
2025-01-01T00:20:15,4.967
2025-01-01T00:20:20,4.885
2025-01-01T00:20:25,4.896
2025-01-01T00:20:30,4.797
2025-01-01T00:20:35,4.816
2025-01-01T00:20:40,4.713
2025-01-01T00:20:45,4.696
2025-01-01T00:20:50,4.619
2025-01-01T00:20:55,4.575
2025-01-01T00:21:00,4.545
