tiempo,voltaje
2025-01-01T00:30:00,4.999
2025-01-01T00:30:05,5.077
2025-01-01T00:30:10,5.182
2025-01-01T00:30:15,5.127
2025-01-01T00:30:20,5.281
2025-01-01T00:30:25,7.841
2025-01-01T00:30:30,5.294
2025-01-01T00:30:35,5.368
2025-01-01T00:30:40,5.442
2025-01-01T00:30:45,5.470
2025-01-01T00:30:50,5.525
2025-01-01T00:30:55,5.468
2025-01-01T00:31:00,5.441
2025-01-01T00:31:05,5.494
2025-01-01T00:31:10,5.499
2025-01-01T00:31:15,5.448
2025-01-01T00:31:20,5.463
2025-01-01T00:31:25,5.407
2025-01-01T00:31:30,5.394
2025-01-01T00:31:35,5.294
2025-01-01T00:31:40,5.274
2025-01-01T00:31:45,5.273
2025-01-01T00:31:50,5.198
2025-01-01T00:31:55,5.117
2025-01-01T00:32:00,5.104
2025-01-01T00:32:05,5.041
2025-01-01T00:32:10,4.912
2025-01-01T00:32:15,4.935
2025-01-01T00:32:20,4.783
2025-01-01T00:32:25,4.710
2025-01-01T00:32:30,4.657
2025-01-01T00:32:35,4.606
2025-01-01T00:32:40,4.612
2025-01-01T00:32:45,4.613
2025-01-01T00:32:50,4.524
2025-01-01T00:32:55,4.516
2025-01-01T00:33:00,4.473
2025-01-01T00:33:05,4.516
2025-01-01T00:33:10,4.533
2025-01-01T00:33:15,4.451
2025-01-01T00:33:20,4.568
2025-01-01T00:33:25,4.513
2025-01-01T00:33:30,4.607
2025-01-01T00:33:35,4.667
2025-01-01T00:33:40,4.671
2025-01-01T00:33:45,4.698
2025-01-01T00:33:50,4.774
2025-01-01T00:33:55,4.800
2025-01-01T00:34:00,4.834
2025-01-01T00:34:05,4.913
2025-01-01T00:34:10,4.978
2025-01-01T00:34:15,5.010
2025-01-01T00:34:20,5.114
2025-01-01T00:34:25,5.202
2025-01-01T00:34:30,5.253
2025-01-01T00:34:35,5.248
2025-01-01T00:34:40,5.312
2025-01-01T00:34:45,5.381
2025-01-01T00:34:50,5.414
2025-01-01T00:34:55,5.397
2025-01-01T00:35:00,5.432
2025-01-01T00:35:05,5.528
2025-01-01T00:35:10,5.460
2025-01-01T00:35:15,5.555
2025-01-01T00:35:20,5.434
2025-01-01T00:35:25,5.426
2025-01-01T00:35:30,5.496
2025-01-01T00:35:35,5.411
2025-01-01T00:35:40,5.404
2025-01-01T00:35:45,5.395
2025-01-01T00:35:50,5.251
2025-01-01T00:35:55,5.269
2025-01-01T00:36:00,5.187
2025-01-01T00:36:05,5.178
2025-01-01T00:36:10,5.033
2025-01-01T00:36:15,4.969
2025-01-01T00:36:20,4.974
2025-01-01T00:36:25,4.886
