tiempo,voltaje
2025-01-01T00:02:00,5.021
2025-01-01T00:02:05,2.985
2025-01-01T00:02:10,5.166
2025-01-01T00:02:15,5.174
2025-01-01T00:02:20,5.204
2025-01-01T00:02:25,5.293
2025-01-01T00:02:30,8.270
2025-01-01T00:02:35,5.338
2025-01-01T00:02:40,5.383
2025-01-01T00:02:45,5.455
2025-01-01T00:02:50,5.445
2025-01-01T00:02:55,5.486
2025-01-01T00:03:00,5.519
2025-01-01T00:03:05,5.510
2025-01-01T00:03:10,5.538
2025-01-01T00:03:15,5.502
2025-01-01T00:03:20,5.492
2025-01-01T00:03:25,5.470
2025-01-01T00:03:30,5.382
2025-01-01T00:03:35,5.312
2025-01-01T00:03:40,5.326
2025-01-01T00:03:45,5.256
2025-01-01T00:03:50,5.133
2025-01-01T00:03:55,5.097
2025-01-01T00:04:00,5.067
2025-01-01T00:04:05,4.968
2025-01-01T00:04:10,4.962
2025-01-01T00:04:15,4.865
2025-01-01T00:04:20,4.806
2025-01-01T00:04:25,4.750
2025-01-01T00:04:30,4.716
2025-01-01T00:04:35,4.701
2025-01-01T00:04:40,3.152
2025-01-01T00:04:45,4.620
2025-01-01T00:04:50,4.538
2025-01-01T00:04:55,4.530
2025-01-01T00:05:00,4.475
2025-01-01T00:05:05,3.107
2025-01-01T00:05:10,4.490
2025-01-01T00:05:15,4.505
2025-01-01T00:05:20,3.039
2025-01-01T00:05:25,4.491
2025-01-01T00:05:30,4.534
2025-01-01T00:05:35,4.561
2025-01-01T00:05:40,4.623
2025-01-01T00:05:45,4.737
2025-01-01T00:05:50,4.789
2025-01-01T00:05:55,4.786
2025-01-01T00:06:00,4.818
2025-01-01T00:06:05,4.997
2025-01-01T00:06:10,5.018
2025-01-01T00:06:15,5.081
2025-01-01T00:06:20,5.178
2025-01-01T00:06:25,5.127
2025-01-01T00:06:30,5.196
2025-01-01T00:06:35,5.302
2025-01-01T00:06:40,5.366
2025-01-01T00:06:45,5.345
2025-01-01T00:06:50,5.452
2025-01-01T00:06:55,5.491
2025-01-01T00:07:00,3.106
2025-01-01T00:07:05,5.546
2025-01-01T00:07:10,5.525
2025-01-01T00:07:15,5.522
2025-01-01T00:07:20,5.443
2025-01-01T00:07:25,5.518
2025-01-01T00:07:30,5.407
2025-01-01T00:07:35,5.456
2025-01-01T00:07:40,5.377
2025-01-01T00:07:45,5.343
2025-01-01T00:07:50,5.336
2025-01-01T00:07:55,5.194
2025-01-01T00:08:00,5.200
2025-01-01T00:08:05,5.149
2025-01-01T00:08:10,5.091
2025-01-01T00:08:15,4.972
2025-01-01T00:08:20,4.942
2025-01-01T00:08:25,4.868
2025-01-01T00:08:30,4.788
2025-01-01T00:08:35,4.799
2025-01-01T00:08:40,4.752
2025-01-01T00:08:45,4.653
2025-01-01T00:08:50,7.682
2025-01-01T00:08:55,4.543
2025-01-01T00:09:00,4.528
2025-01-01T00:09:05,4.549
2025-01-01T00:09:10,4.450
2025-01-01T00:09:15,4.451
2025-01-01T00:09:20,4.500
2025-01-01T00:09:25,4.532
2025-01-01T00:09:30,4.523
2025-01-01T00:09:35,4.499
2025-01-01T00:09:40,4.601
2025-01-01T00:09:45,4.625
2025-01-01T00:09:50,4.661
2025-01-01T00:09:55,4.736
2025-01-01T00:10:00,4.783
2025-01-01T00:10:05,4.786
2025-01-01T00:10:10,4.839
2025-01-01T00:10:15,4.942
2025-01-01T00:10:20,4.962
2025-01-01T00:10:25,5.061
2025-01-01T00:10:30,5.182
2025-01-01T00:10:35,5.158
2025-01-01T00:10:40,5.204
2025-01-01T00:10:45,7.774
2025-01-01T00:10:50,5.399
2025-01-01T00:10:55,5.409
2025-01-01T00:11:00,5.466
2025-01-01T00:11:05,5.497
2025-01-01T00:11:10,5.472
2025-01-01T00:11:15,5.453
2025-01-01T00:11:20,5.552
2025-01-01T00:11:25,5.538
2025-01-01T00:11:30,5.440
2025-01-01T00:11:35,5.422
2025-01-01T00:11:40,5.460
2025-01-01T00:11:45,5.481
2025-01-01T00:11:50,5.417
2025-01-01T00:11:55,5.377
2025-01-01T00:12:00,5.297
2025-01-01T00:12:05,5.234
2025-01-01T00:12:10,5.243
2025-01-01T00:12:15,5.139
2025-01-01T00:12:20,5.091
2025-01-01T00:12:25,4.965
2025-01-01T00:12:30,4.957
2025-01-01T00:12:35,4.837
2025-01-01T00:12:40,4.756
2025-01-01T00:12:45,4.770
2025-01-01T00:12:50,4.674
2025-01-01T00:12:55,4.682
2025-01-01T00:13:00,4.637
2025-01-01T00:13:05,4.612
2025-01-01T00:13:10,4.567
2025-01-01T00:13:15,4.515
2025-01-01T00:13:20,4.527
2025-01-01T00:13:25,4.540
2025-01-01T00:13:30,4.461
2025-01-01T00:13:35,4.539
2025-01-01T00:13:40,4.499
2025-01-01T00:13:45,4.570
2025-01-01T00:13:50,4.631
2025-01-01T00:13:55,4.614
2025-01-01T00:14:00,4.603
2025-01-01T00:14:05,4.685
2025-01-01T00:14:10,4.710
2025-01-01T00:14:15,4.856
2025-01-01T00:14:20,4.930
2025-01-01T00:14:25,4.958
2025-01-01T00:14:30,4.945
2025-01-01T00:14:35,5.059
2025-01-01T00:14:40,5.174
2025-01-01T00:14:45,5.194
2025-01-01T00:14:50,5.240
2025-01-01T00:14:55,5.276
2025-01-01T00:15:00,5.363
2025-01-01T00:15:05,5.365
2025-01-01T00:15:10,5.397
2025-01-01T00:15:15,5.490
2025-01-01T00:15:20,5.470
2025-01-01T00:15:25,5.470
2025-01-01T00:15:30,5.488
2025-01-01T00:15:35,5.558
2025-01-01T00:15:40,5.496
