tiempo,voltaje
2025-01-01T00:26:00,5.050
2025-01-01T00:26:05,5.117
2025-01-01T00:26:10,5.175
2025-01-01T00:26:15,5.164
2025-01-01T00:26:20,5.193
2025-01-01T00:26:25,5.281
2025-01-01T00:26:30,5.372
2025-01-01T00:26:35,5.396
2025-01-01T00:26:40,5.403
2025-01-01T00:26:45,5.414
2025-01-01T00:26:50,5.496
2025-01-01T00:26:55,5.433
2025-01-01T00:27:00,5.451
2025-01-01T00:27:05,5.465
2025-01-01T00:27:10,3.263
2025-01-01T00:27:15,5.494
2025-01-01T00:27:20,5.506
2025-01-01T00:27:25,5.447
2025-01-01T00:27:30,5.428
2025-01-01T00:27:35,5.361
2025-01-01T00:27:40,5.302
2025-01-01T00:27:45,5.288
2025-01-01T00:27:50,5.154
2025-01-01T00:27:55,5.177
2025-01-01T00:28:00,5.113
2025-01-01T00:28:05,4.991
2025-01-01T00:28:10,4.970
2025-01-01T00:28:15,4.835
2025-01-01T00:28:20,4.849
2025-01-01T00:28:25,4.739
2025-01-01T00:28:30,4.761
2025-01-01T00:28:35,4.651
2025-01-01T00:28:40,4.666
2025-01-01T00:28:45,4.539
2025-01-01T00:28:50,4.505
2025-01-01T00:28:55,4.491
2025-01-01T00:29:00,4.558
2025-01-01T00:29:05,4.453
2025-01-01T00:29:10,4.510
2025-01-01T00:29:15,4.502
2025-01-01T00:29:20,4.482
2025-01-01T00:29:25,4.600
2025-01-01T00:29:30,4.550
2025-01-01T00:29:35,4.663
2025-01-01T00:29:40,4.660
2025-01-01T00:29:45,4.705
2025-01-01T00:29:50,4.800
2025-01-01T00:29:55,4.850
2025-01-01T00:30:00,4.816
2025-01-01T00:30:05,4.975
2025-01-01T00:30:10,5.008
2025-01-01T00:30:15,5.046
2025-01-01T00:30:20,5.112
2025-01-01T00:30:25,5.239
2025-01-01T00:30:30,5.245
2025-01-01T00:30:35,5.244
2025-01-01T00:30:40,5.374
2025-01-01T00:30:45,2.815
2025-01-01T00:30:50,5.446
2025-01-01T00:30:55,5.468
2025-01-01T00:31:00,5.426
2025-01-01T00:31:05,5.519
2025-01-01T00:31:10,5.462
2025-01-01T00:31:15,5.510
2025-01-01T00:31:20,5.439
2025-01-01T00:31:25,5.452
2025-01-01T00:31:30,5.493
2025-01-01T00:31:35,3.173
2025-01-01T00:31:40,5.330
2025-01-01T00:31:45,5.379
2025-01-01T00:31:50,5.289
2025-01-01T00:31:55,5.286
2025-01-01T00:32:00,5.194
2025-01-01T00:32:05,5.069
2025-01-01T00:32:10,5.081
2025-01-01T00:32:15,5.050
2025-01-01T00:32:20,4.961
2025-01-01T00:32:25,4.836
2025-01-01T00:32:30,4.793
2025-01-01T00:32:35,4.754
2025-01-01T00:32:40,4.717
2025-01-01T00:32:45,4.610
2025-01-01T00:32:50,4.651
2025-01-01T00:32:55,4.614
2025-01-01T00:33:00,4.585
2025-01-01T00:33:05,4.546
2025-01-01T00:33:10,4.566
2025-01-01T00:33:15,4.457
2025-01-01T00:33:20,4.536
2025-01-01T00:33:25,4.520
2025-01-01T00:33:30,4.479
2025-01-01T00:33:35,4.537
2025-01-01T00:33:40,4.584
2025-01-01T00:33:45,4.666
2025-01-01T00:33:50,4.610
2025-01-01T00:33:55,4.720
2025-01-01T00:34:00,4.701
2025-01-01T00:34:05,4.757
2025-01-01T00:34:10,4.826
2025-01-01T00:34:15,4.984
2025-01-01T00:34:20,5.037
2025-01-01T00:34:25,5.086
2025-01-01T00:34:30,5.141
2025-01-01T00:34:35,5.174
2025-01-01T00:34:40,3.000
2025-01-01T00:34:45,5.348
2025-01-01T00:34:50,5.376
2025-01-01T00:34:55,5.326
2025-01-01T00:35:00,5.376
2025-01-01T00:35:05,5.404
2025-01-01T00:35:10,5.507
2025-01-01T00:35:15,5.457
2025-01-01T00:35:20,5.518
2025-01-01T00:35:25,5.462
2025-01-01T00:35:30,5.513
2025-01-01T00:35:35,5.472
2025-01-01T00:35:40,5.473
2025-01-01T00:35:45,5.440
2025-01-01T00:35:50,5.377
2025-01-01T00:35:55,5.379
2025-01-01T00:36:00,5.239
2025-01-01T00:36:05,5.292
2025-01-01T00:36:10,5.218
2025-01-01T00:36:15,5.078
2025-01-01T00:36:20,5.089
2025-01-01T00:36:25,4.979
2025-01-01T00:36:30,4.959
2025-01-01T00:36:35,4.909
2025-01-01T00:36:40,4.768
2025-01-01T00:36:45,4.804
2025-01-01T00:36:50,4.673
2025-01-01T00:36:55,4.656
2025-01-01T00:37:00,4.572
2025-01-01T00:37:05,4.572
2025-01-01T00:37:10,4.504
2025-01-01T00:37:15,4.540
2025-01-01T00:37:20,4.473
2025-01-01T00:37:25,4.524
2025-01-01T00:37:30,4.457
2025-01-01T00:37:35,4.504
2025-01-01T00:37:40,4.506
2025-01-01T00:37:45,4.560
2025-01-01T00:37:50,4.594
2025-01-01T00:37:55,4.575
2025-01-01T00:38:00,4.700
2025-01-01T00:38:05,4.749
2025-01-01T00:38:10,4.819
2025-01-01T00:38:15,4.856
2025-01-01T00:38:20,4.903
2025-01-01T00:38:25,4.907
2025-01-01T00:38:30,5.010
2025-01-01T00:38:35,5.074
2025-01-01T00:38:40,7.540
2025-01-01T00:38:45,5.181
2025-01-01T00:38:50,5.185
