timestamp,voltage_V,humedad
2025-01-01T12:09:00,4.000,55.455
2025-01-01T12:09:05,5.011,70.466
2025-01-01T12:09:10,5.000,70.303
2025-01-01T12:09:15,5.236,73.807
2025-01-01T12:09:20,5.442,76.866
2025-01-01T12:09:25,5.000,70.303
2025-01-01T12:09:30,5.527,78.128
2025-01-01T12:09:35,5.602,79.242
2025-01-01T12:09:40,5.498,77.698
2025-01-01T12:09:45,5.618,79.479
2025-01-01T12:09:50,5.693,80.593
2025-01-01T12:09:55,5.000,70.303
2025-01-01T12:10:00,5.000,70.303
2025-01-01T12:10:05,5.000,70.303
2025-01-01T12:10:10,5.448,76.955
2025-01-01T12:10:15,5.430,76.688
2025-01-01T12:10:20,5.000,70.303
2025-01-01T12:10:25,5.000,70.303
2025-01-01T12:10:30,5.123,72.129
2025-01-01T12:10:40,5.057,71.149
2025-01-01T12:10:45,5.000,70.303
2025-01-01T12:10:50,4.836,67.868
2025-01-01T12:11:00,4.000,55.455
2025-01-01T12:11:05,4.535,63.398
2025-01-01T12:11:10,4.000,55.455
2025-01-01T12:11:15,4.000,55.455
2025-01-01T12:11:20,8.756,126.074
2025-01-01T12:11:25,4.000,55.455
2025-01-01T12:11:30,4.000,55.455
2025-01-01T12:11:35,4.436,61.928
2025-01-01T12:11:40,4.400,61.394
2025-01-01T12:11:45,4.000,55.455
2025-01-01T12:12:00,4.000,55.455
2025-01-01T12:12:05,4.000,55.455
2025-01-01T12:12:10,4.806,67.422
2025-01-01T12:12:15,4.886,68.610
2025-01-01T12:12:20,4.913,69.011
2025-01-01T12:12:25,4.000,55.455
2025-01-01T12:12:35,5.237,73.822
2025-01-01T12:12:40,5.377,75.901
2025-01-01T12:12:45,5.329,75.188
2025-01-01T12:12:50,5.000,70.303
2025-01-01T12:12:55,5.464,77.193
2025-01-01T12:13:00,5.000,70.303
2025-01-01T12:13:05,5.000,70.303
2025-01-01T12:13:20,5.000,70.303
2025-01-01T12:13:25,5.600,79.212
2025-01-01T12:13:30,5.434,76.747
2025-01-01T12:13:35,5.000,70.303
2025-01-01T12:13:40,5.000,70.303
2025-01-01T12:13:50,5.184,73.035
2025-01-01T12:13:55,5.029,70.734
2025-01-01T12:14:00,5.071,71.357
2025-01-01T12:14:05,4.000,55.455
2025-01-01T12:14:10,4.000,55.455
2025-01-01T12:14:15,4.000,55.455
2025-01-01T12:14:20,4.677,65.507
2025-01-01T12:14:25,4.000,55.455
2025-01-01T12:14:30,4.000,55.455
2025-01-01T12:14:40,4.000,55.455
2025-01-01T12:14:45,4.324,60.265
2025-01-01T12:14:55,4.470,62.433
2025-01-01T12:15:05,4.510,63.027
2025-01-01T12:15:10,4.000,55.455
2025-01-01T12:15:15,4.000,55.455
2025-01-01T12:15:20,4.629,64.794
2025-01-01T12:15:25,4.679,65.537
2025-01-01T12:15:30,4.742,66.472
2025-01-01T12:15:35,4.888,68.640
2025-01-01T12:15:40,5.000,70.303
2025-01-01T12:15:45,5.126,72.174
2025-01-01T12:15:50,5.000,70.303
2025-01-01T12:15:55,5.187,73.080
2025-01-01T12:16:00,5.382,75.975
2025-01-01T12:16:05,5.000,70.303
2025-01-01T12:16:15,5.000,70.303
2025-01-01T12:16:20,2.792,37.518
2025-01-01T12:16:25,5.657,80.058
2025-01-01T12:16:30,5.506,77.816
2025-01-01T12:16:40,5.000,70.303
2025-01-01T12:16:45,5.574,78.826
2025-01-01T12:16:50,5.396,76.183
2025-01-01T12:16:55,5.442,76.866
2025-01-01T12:17:00,5.280,74.461
2025-01-01T12:17:05,5.000,70.303
2025-01-01T12:17:10,5.000,70.303
2025-01-01T12:17:15,5.000,70.303
2025-01-01T12:17:20,5.000,70.303
2025-01-01T12:17:25,4.819,67.615
2025-01-01T12:17:40,4.000,55.455
2025-01-01T12:17:50,4.492,62.760
2025-01-01T12:17:55,4.000,55.455
2025-01-01T12:18:00,4.000,55.455
2025-01-01T12:18:05,4.000,55.455
2025-01-01T12:18:10,4.346,60.592
2025-01-01T12:18:15,4.497,62.834
2025-01-01T12:18:20,4.000,55.455
2025-01-01T12:18:25,4.000,55.455
2025-01-01T12:18:30,4.569,63.903
2025-01-01T12:18:35,4.568,63.888
2025-01-01T12:18:40,4.552,63.651
2025-01-01T12:18:45,4.755,66.665
2025-01-01T12:18:50,4.000,55.455
2025-01-01T12:18:55,4.938,69.382
2025-01-01T12:19:00,5.005,70.377
2025-01-01T12:19:05,5.000,70.303
2025-01-01T12:19:15,2.000,25.758
2025-01-01T12:19:20,5.000,70.303
2025-01-01T12:19:30,5.432,76.718
2025-01-01T12:19:35,5.000,70.303
2025-01-01T12:19:40,5.000,70.303
2025-01-01T12:19:45,5.580,78.915
2025-01-01T12:19:50,5.000,70.303
2025-01-01T12:19:55,5.507,77.831
2025-01-01T12:20:00,5.501,77.742
2025-01-01T12:20:05,5.000,70.303
2025-01-01T12:20:10,5.000,70.303
